Undergraduate Institution,Total Applicants from the Institution,year
"Vassar College, Poughkeepsie, NY",70,2019
"Wesleyan University, Middletown, CT",70,2019
"College of Charleston, Charleston, SC",69,2019
"San Diego State University, San Diego, CA",69,2019
"Washington State University, Pullman, WA",69,2019
"University at Albany, SUNY, Albany, NY",68,2019
"Kent State University Kent Campus, Kent, OH",66,2019
"Middlebury College, Middlebury, VT",66,2019
"Central Michigan University, Mount Pleasant, MI",65,2019
"Montana State University-Bozeman, Bozeman, MT",65,2019
"Northern Arizona University, Flagstaff, AZ",65,2019
"Rhodes College, Memphis, TN",65,2019
"Brigham Young University-Idaho, Rexburg, ID",64,2019
"City University of New York The City College, New York, NY",64,2019
"Pomona College, Claremont, CA",64,2019
"St. Olaf College, Northfield, MN",64,2019
"State University of New York College at Geneseo, Geneseo, NY",64,2019
"Spelman College, Atlanta, GA",63,2019
"The University of Akron, Main Campus, Akron, OH",63,2019
"University of Michigan-Dearborn, Dearborn, MI",63,2019
"Furman University, Greenville, SC",62,2019
"James Madison University, Harrisonburg, VA",62,2019
"Portland State University, Portland, OR",62,2019
"Utah State University, Logan, UT",62,2019
"University of Colorado Denver | Anschutz Medical Campus, Denver, CO",60,2019
"Carnegie Mellon University, Pittsburgh, PA",59,2019
"Davidson College, Davidson, NC",59,2019
"Hofstra University, Hempstead, NY",59,2019
"The University of Scranton, Scranton, PA",59,2019
"California Polytechnic State University-San Luis Obispo, San Luis Obispo, CA",58,2019
"Lehigh University, Bethlehem, PA",58,2019
"Amherst College, Amherst, MA",57,2019
"Marshall University, Huntington, WV",57,2019
"Southern Adventist University, Collegedale, TN",57,2019
"University of South Alabama, Mobile, AL",57,2019
"Yeshiva University (New York, NY), New York, NY",57,2019
"Gonzaga University, Spokane, WA",56,2019
"Mercer University, Macon, GA",56,2019
"University of Denver, Denver, CO",56,2019
"College of the Holy Cross, Worcester, MA",55,2019
"East Tennessee State University, Johnson City, TN",55,2019
"Hendrix College, Conway, AR",55,2019
"Loyola Marymount University, Los Angeles, CA",55,2019
"North Dakota State University Main Campus, Fargo, ND",55,2019
"Queen's University at Kingston, Kingston, ON",55,2019
"York University, Toronto, ON",55,2019
"Colgate University, Hamilton, NY",54,2019
"San Francisco State University, San Francisco, CA",54,2019
"University of San Diego, San Diego, CA",54,2019
"University of Wisconsin-Milwaukee, Milwaukee, WI",53,2019
"Xavier University, Cincinnati, OH",53,2019
"Austin College, Sherman, TX",52,2019
"Univ Of Louisiana At Lafayette, Lafayette, LA",52,2019
"Liberty University, Lynchburg, VA",51,2019
"Augusta State University, Augusta, GA",50,2019
"Kennesaw State University, Kennesaw, GA",50,2019
"Rutgers University - Newark, Newark, NJ",50,2019
"Union College (Schnectady, NY), Schenectady, NY",50,2019
"University of Tulsa, Tulsa, OK",50,2019
"University of California-Los Angeles, Los Angeles, CA",1152,2020
"University of Texas at Austin, Austin, TX",903,2020
"University of Florida, Gainesville, FL",869,2020
"University of Michigan-Ann Arbor, Ann Arbor, MI",764,2020
"University of California-Berkeley, Berkeley, CA",728,2020
"University of California-San Diego, La Jolla, CA",621,2020
"The Ohio State University Main Campus, Columbus, OH",592,2020
"Texas A & M University, College Station, TX",541,2020
"University of Wisconsin-Madison, Madison, WI",521,2020
"University of Georgia, Athens, GA",483,2020
"University of North Carolina at Chapel Hill, Chapel Hill, NC",474,2020
"University of California-Davis, Davis, CA",461,2020
"Johns Hopkins University, Baltimore, MD",455,2020
"Rutgers University - New Brunswick, New Brunswick, NJ",451,2020
"Cornell University, Ithaca, NY",420,2020
"University of Washington, Seattle, WA",418,2020
"University of South Florida, Tampa, FL",409,2020
"Brigham Young University, Provo, UT",404,2020
"Michigan State University, East Lansing, MI",403,2020
"University of Virginia, Charlottesville, VA",393,2020
"Emory University, Atlanta, GA",387,2020
"University of Maryland-College Park, College Park, MD",383,2020
"Baylor University, Waco, TX",368,2020
"Washington University in St. Louis, St. Louis, MO",363,2020
"University of Minnesota, Minneapolis, MN",361,2020
"Louisiana St University and Agricultural and Mechanical Col, Baton Rouge, LA",360,2020
"University of Central Florida, Orlando, FL",356,2020
"University of California-Irvine, Irvine, CA",353,2020
"University of Illinois at Urbana-Champaign, Champaign, IL",351,2020
"Arizona State University, Tempe, AZ",345,2020
"University of Pennsylvania, Philadelphia, PA",343,2020
"University of Pittsburgh, Pittsburgh, PA",343,2020
"University of Arizona, Tucson, AZ",341,2020
"Florida State University, Tallahassee, FL",331,2020
"University of Southern California, Los Angeles, CA",318,2020
"The University of Texas at Dallas, Richardson, TX",316,2020
"Duke University, Durham, NC",310,2020
"University of Miami, Coral Gables, FL",301,2020
"Boston University, Boston, MA",300,2020
"New York University, New York, NY",285,2020
"Vanderbilt University, Nashville, TN",283,2020
"Brown University, Providence, RI",277,2020
"University of Houston, Houston, TX",271,2020
"University of Kentucky, Lexington, KY",271,2020
"Florida International University, Miami, FL",270,2020
"Indiana University-Bloomington, Bloomington, IN",270,2020
"University of Oklahoma Norman Campus, Norman, OK",269,2020
"Stony Brook University, Stony Brook, NY",261,2020
"Northwestern University-Evanston, Evanston, IL",258,2020
"Penn State University Park, University Park, PA",257,2020
"University of Notre Dame, Notre Dame, IN",257,2020
"University of California-Riverside, Riverside, CA",246,2020
"University of South Carolina Columbia, Columbia, SC",244,2020
"University of Connecticut, Storrs, CT",241,2020
"Wayne State University, Detroit, MI",241,2020
"Clemson University, Clemson, SC",235,2020
"University of Illinois at Chicago, Chicago, IL",227,2020
"Harvard University, Cambridge, MA",226,2020
"Loyola University Chicago, Chicago, IL",214,2020
"Stanford University, Stanford, CA",213,2020
"University of California-Santa Barbara, Santa Barbara, CA",211,2020
"The University of Alabama, Tuscaloosa, AL",210,2020
"Columbia University in the City of New York, New York, NY",206,2020
"Yale University, New Haven, CT",206,2020
"The University of Utah, Salt Lake City, UT",203,2020
"University of Toronto, Toronto, ON",203,2020
"Texas Tech University-Lubbock, Lubbock, TX",199,2020
"Tulane University, New Orleans, LA",199,2020
"University of Kansas Main Campus, Lawrence, KS",199,2020
"Boston College, Chestnut Hill, MA",197,2020
"Case Western Reserve University, Cleveland, OH",197,2020
"Rice University, Houston, TX",193,2020
"University of Colorado at Boulder, Boulder, CO",193,2020
"University of Tennessee-Knoxville, Knoxville, TN",192,2020
"Virginia Commonwealth University, Richmond, VA",189,2020
"Creighton University, Omaha, NE",186,2020
"University of Iowa, Iowa City, IA",186,2020
"Northeastern University, Boston, MA",185,2020
"Saint Louis University, St. Louis, MO",178,2020
"State University of New York at Binghamton, Binghamton, NY",178,2020
"University of Mississippi, University, MS",178,2020
"University of Puerto Rico-Rio Piedras Campus, San Juan, PR",177,2020
"Georgia Institute of Technology, Atlanta, GA",175,2020
"University of Chicago, Chicago, IL",175,2020
"University of Western Ontario, London, ON",171,2020
"University of Arkansas Main Campus, Fayetteville, AR",165,2020
"University of New Mexico-Main Campus, Albuquerque, NM",165,2020
"Georgetown University, Washington, DC",164,2020
"University of Missouri-Columbia, Columbia, MO",163,2020
"Auburn University, Auburn, AL",162,2020
"Tufts University, Medford, MA",162,2020
"Florida Atlantic University-Boca Raton, Boca Raton, FL",161,2020
"University of Massachusetts-Amherst, Amherst, MA",158,2020
"Temple University, Philadelphia, PA",156,2020
"College of William & Mary, Williamsburg, VA",155,2020
"University of Rochester, Rochester, NY",154,2020
"The University of Texas at San Antonio, San Antonio, TX",151,2020
"University of Alabama at Birmingham, Birmingham, AL",147,2020
"Dartmouth College, Hanover, NH",144,2020
"Purdue University-Main Campus, West Lafayette, IN",144,2020
"Virginia Polytechnic Institute and State University, Blacksburg, VA",141,2020
"George Washington University, Washington, DC",140,2020
"University of Nevada-Reno, Reno, NV",137,2020
"Mississippi State University, Mississippi State, MS",136,2020
"Georgia State University, Atlanta, GA",135,2020
"University of Nebraska - Lincoln, Lincoln, NE",133,2020
"Princeton University, Princeton, NJ",132,2020
"University at Buffalo-SUNY, Buffalo, NY",130,2020
"North Carolina State University, Raleigh, NC",129,2020
"University of Cincinnati Main Campus, Cincinnati, OH",128,2020
"University of Oregon, Eugene, OR",128,2020
"West Virginia University, Morgantown, WV",128,2020
"McMaster University, Hamilton, ON",127,2020
"Miami University, Oxford, OH",126,2020
"Wake Forest University, Winston-Salem, NC",125,2020
"City University of New York Hunter College, New York, NY",124,2020
"University of Maryland-Baltimore County, Baltimore, MD",121,2020
"University of Delaware, Newark, DE",118,2020
"McGill University, Montreal, QC",117,2020
"University of Louisville, Louisville, KY",117,2020
"Howard University, Washington, DC",116,2020
"University of Puerto Rico-Mayaguez Campus, Mayaguez, PR",115,2020
